TET,MMC,IPM,CAZ,KAN,CIP,PME,ERY,CHL,consensus
b0001,b0032,b0025,b0032,b0013,b0032,b0234,b0008,b0991,b0025
b0025,b0034,b0032,b0034,b0022,b0033,b0318,b0025,b1073,b0038
b0038,b0036,b0038,b0038,b0032,b0034,b0329,b0026,b1797,b0040
b0040,b0037,b0039,b0039,b0034,b0036,b0707,b0028,b1946,b0060
b0060,b0038,b0070,b0060,b0035,b0040,b0787,b0038,b2207,b0072
b0072,b0039,b0097,b0068,b0036,b0041,b0794,b0039,b3121,b0073
b0073,b0041,b0104,b0070,b0037,b0046,b0796,b0048,b1223,b0074
b0074,b0043,b0106,b0104,b0038,b0060,b0797,b0049,b0990,b0076
b0076,b0045,b0113,b0113,b0039,b0066,b1197,b0051,b0656,b0077
b0077,b0060,b0125,b0116,b0040,b0068,b1268,b0052,b4517,b0104
b0104,b0068,b0157,b0120,b0041,b0070,b1304,b0053,b1674,b0106
b0106,b0070,b0161,b0121,b0042,b0104,b1450,b0055,b1224,b0126
b0126,b0099,b0167,b0157,b0043,b0106,b1469,b0072,b1474,b0127
b0127,b0104,b0174,b0161,b0045,b0126,b1535,b0073,b0301,b0135
b0135,b0106,b0175,b0167,b0064,b0127,b1585,b0074,b2402,b0138
b0138,b0113,b0183,b0169,b0065,b0135,b1599,b0077,b1551,b0139
b0139,b0121,b0211,b0174,b0068,b0138,b1600,b0097,b3365,b0144
b0144,b0135,b0214,b0211,b0070,b0139,b1601,b0099,b1074,b0160
b0145,b0139,b0296,b0214,b0075,b0141,b1843,b0102,b3366,b0162
b0147,b0140,b0354,b0231,b0076,b0144,b1846,b0103,b2206,b0169
b0160,b0157,b0369,b0244,b0077,b0157,b1973,b0113,b0303,b0178
b0162,b0161,b0393,b0312,b0078,b0161,b2053,b0116,b0339,b0183
b0169,b0167,b0398,b0313,b0104,b0162,b2131,b0121,b4071,b0185
b0178,b0174,b0406,b0318,b0106,b0169,b2253,b0126,b1796,b0193
b0183,b0211,b0417,b0327,b0107,b0174,b2254,b0127,b2878,b0217
b0185,b0217,b0421,b0336,b0108,b0175,b2255,b0128,b1225,b0224
b0191,b0218,b0436,b0369,b0112,b0183,b2567,b0157,b2667,b0231
b0193,b0231,b0463,b0381,b0123,b0185,b3216,b0161,b3117,b0232
b0217,b0232,b0465,b0393,b0135,b0193,b3238,b0169,b2871,b0234
b0222,b0234,b0469,b0398,b0138,b0217,b3363,b0172,b4688,b0235
b0223,b0244,b0470,b0406,b0139,b0231,b3416,b0174,b2870,b0236
b0224,b0252,b0472,b0436,b0140,b0234,b3417,b0175,b0137,b0241
b0231,b0278,b0495,b0452,b0141,b0235,b3534,b0178,b3556,b0242
b0232,b0294,b0496,b0458,b0144,b0236,b3548,b0183,b2379,b0244
b0234,b0295,b0522,b0463,b0148,b0241,b3859,b0188,b1226,b0249
b0235,b0297,b0523,b0469,b0149,b0244,b3862,b0210,b0528,b0251
b0236,b0311,b0524,b0523,b0156,b0253,b4108,b0211,b0929,b0253
b0241,b0312,b0569,b0524,b0157,b0272,b4111,b0215,b2203,b0254
b0242,b0315,b0571,b0536,b0160,b0277,b4127,b0224,b1905,b0277
b0244,b0317,b0576,b0583,b0161,b0278,b4149,b0243,b2208,b0288
b0249,b0318,b0577,b0607,b0162,b0288,b4237,b0254,b4036,b0295
b0251,b0319,b0628,b0628,b0169,b0294,b4238,b0288,b0450,b0310
b0253,b0320,b0630,b0632,b0175,b0295,b4248,b0341,b2205,b0315
b0254,b0327,b0632,b0635,b0183,b0310,b4555,b0386,b3704,b0317
b0277,b0336,b0635,b0650,b0188,b0315,b2667,b0393,b2668,b0326
b0288,b0364,b0661,b0661,b0192,b0317,b1905,b0398,b4072,b0327
b0295,b0369,b0684,b0683,b0193,b0326,b3704,b0404,b2879,b0354
b0310,b0393,b0736,b0684,b0201,b0327,b2668,b0406,b0721,b0357
b0315,b0398,b0737,b0736,b0210,b0336,b0721,b0411,b4062,b0386
b0317,b0406,b0738,b0737,b0217,b0363,b1558,b0414,b1475,b0392
b0326,b0436,b0774,b0738,b0218,b0364,b1915,b0421,b3118,b0398
b0327,b0469,b0797,b0750,b0226,b0369,b1014,b0436,b0263,b0406
b0354,b0499,b0813,b0774,b0229,b0376,b0946,b0452,b4566,b0427
b0357,b0501,b0817,b0797,b0230,b0392,b1163,b0469,b3115,b0436
b0386,b0504,b0818,b0817,b0231,b0393,b1530,b0470,b4667,b0458
b0392,b0511,b0822,b0818,b0232,b0398,b0459,b0471,b0846,b0463
b0398,b0516,b0835,b0822,b0234,b0406,b1243,b0472,b1557,b0498
b0406,b0517,b0837,b0835,b0235,b0408,b2681,b0478,b0280,b0515
b0427,b0522,b0841,b0841,b0236,b0411,b1216,b0515,b0844,b0516
b0436,b0523,b0847,b0847,b0241,b0427,b2369,b0524,b4032,b0522
b0458,b0524,b0853,b0853,b0242,b0436,b0460,b0536,b4307,b0523
b0462,b0527,b0874,b0874,b0244,b0463,b1234,b0555,b4037,b0527
b0463,b0532,b0892,b0888,b0245,b0465,b1329,b0567,b1977,b0532
