ecoli_orthologs_up,yeast_orthologs_up
AK2,GCLC
ARSD,CYP51A1
RPS20,RPS20
CHDH,UQCRC1
ATP1A2,LARS2
SLC7A9,ELOVL5
ABCF2,POLR3B
BCAT1,ATP1A2
ARSF,TTC27
ATP2C2,CPS1
ACSM2B,ABCC2
ASNS,SARS1
CRMP1,ABCF2
SDHA,OTC
ACAT1,NSUN2
ATP12A,METTL1
PGM1,MTREX
CPOX,LSG1
OXCT1,TRIT1
TGDS,CTPS2
SLC17A6,RRP12
OSGEP,MSMO1
DPYSL2,NOP58
TOP3B,SLC2A3
SLC5A1,RPL18
SLC5A4,IPO5
HSCB,KARS1
ARSA,FECH
TRMU,IDI1
APEX1,RRP15
GMPR2,IARS2
SLC17A9,FTSJ1
CDK5RAP1,POLR1A
ACOT8,ASNS
STS,RPL31
PRPS2,CPSF1
DHODH,MCM2
NME3,NLE1
GFUS,ATP2A3
ECH1,ATP12A
SLC17A7,MCM6
ETFB,REXO2
ATP1A3,ACACB
BCAT2,UBE2A
GCDH,CPOX
SLC5A5,HSP90AA1
DDX49,TNPO1
ATP4A,DIS3
ETHE1,RPS5
DUS4L,ZMPSTE24
ANKRD7,EIF3I
ABHD11,SLC25A24
IMPDH1,RRN3
ABHD17B,MTIF2
DDX5,DIMT1
AADAT,ERO1B
UGDH,ERGIC2
SLC22A18,METTL2A
COQ5,DDX18
MTRF1L,ESF1
SLC17A2,RPLP0
GMDS,TRMT6
RARS1,PUS7
DPYSL3,DHPS
HEMK1,CYP26A1
ACADL,NUBP2
SRM,SLC25A1
ACADM,SNU13
SDHB,DDX17
ABCD3,CYB5R3
DHDDS,MCM5
SLC5A9,RPL3
GDA,SAMM50
ABCD4,TRMU
SLC17A5,PMM1
MRPS14,RBM23
ACAT2,TIMM9
UBIAD1,AHSA1
ECHDC2,EIF5
LIAS,MTHFD1
ACADS,GSS
DDX39A,PFDN4
TSFM,NOP56
SLC17A3,AHCY
SLC17A1,PRPS2
GLO1,NAA10
CLYBL,SLC25A14
RPL23,TAFAZZIN
MRPS12,SLC25A15
OSGEPL1,DHODH
IVD,ABCC1
PUDP,NUBP1
UCK1,EARS2
FBP2,DNAJA3
HACL1,TRIP4
GFPT2,SQLE
ERAL1,GSR
ATP1A4,KLHDC4
SRRM1,TRMT1
IMPA1,TIMM44
MTO1,ILVBL
AFG1L,POP4
MFSD9,RPS16
ISCU,FBL
DDX56,RPS19
GMPR,ATP1A3
ABHD13,GRWD1
SLC5A2,TNPO2
GALNS,PRPF31
ARSG,ATP4A
IMPA2,PMPCB
ELAC1,RBM28
SLC47A1,IMPDH1
RPL11,EIF3A
ALDH9A1,SFXN3
UCK2,GTPBP4
SLC27A3,PITRM1
GUK1,RPL19
