shared_yeast_supercluster1_genes,shared_yeast_supercluster2_genes
G6PD,NMD3
POLR2L,RPL36
RPL7A,TM7SF2
RPS3,ATP2A3
HSP90AA1,NHP2
RPL8,RPL35A
RPS16,RPS28
RPLP0,RPL31
RPL37A,RPL24
RPS11,FTSJ3
LBR,RPL13
RPL32,RPS17
RPSA,RPS21
RPLP1,RPL37A
RPL10,RPL30
RPS17,RPL12
RPL27A,RPS27
RPS4X,RPS19
RPS5,RPS16
RPS21,RPL13A
RPL18,RPL7A
RPS2,RPS11
RPS15,G6PD
RACK1,RPS3
RPS20,RPL8
RPL19,RACK1
FBL,RPL18
TPT1,RPLP1
RPL30,RPLP0
RPL15,RPS14
TUFM,RPS4X
RPS27A,RPL38
EIF5A,RPL35
RPS19,RPL32
RPL38,RPS5
RPLP2,RPL15
SLC25A1,RPS9
RPL23A,RPS18
SIGMAR1,RPL27
MRPL12,RPL10
SLC2A1,RPS10
HSPH1,RPL10A
RPL3,RPS15A
RPL36AL,RPS25
RPL35,RPS15
RRM1,RPS12
UQCRC1,RPL19
RAN,RPS20
RPS23,RPL37
RPS8,RPS27A
RPL4,RPL4
RPL13,RPS8
EEF2,RPL3
RPL7,RPS13
RPS12,RPL27A
RPL27,RPL11
HSPD1,RPL23A
NHP2,RPSA
RPL31,RPL7
NME1,RPL34
CCT6A,RPL23
RPS18,RPS23
RPS6,RPLP2
RPS14,EEF2
EIF3I,
EEF1B2,
RPL10A,
RPL23,
ABCF2,
RPS24,
RPL13A,
RPS27,
BTF3,
RPS9,
AHSA1,
RPL24,
RPS7,
MAP3K11,
CYCS,
RPL5,
EIF6,
HSPE1,
RPL12,
RPS13,
RPL36A,
EIF3G,
PRMT1,
RPL36,
RPL37,
RPL9,
RPL35A,
NOC2L,
SLC2A3,
HSPA9,
SQLE,
RPS28,
RPL11,
NUBP2,
IPO4,
SLC25A10,
SF3B5,
SHMT2,
IMPDH1,
ADI1,
ILVBL,
ASS1,
RPL17,
